id,customer_id,product_id,shipper_id,quantity,discount,order_date,order_time,rating_review
1,29,11,45,2,20,2024-01-16,18:57:05,1
2,15,409,2,3,25,2024-02-16,11:37:30,3
3,15,233,44,1,3,2024-01-01,21:09:46,2
4,6,146,48,2,3,2024-01-09,9:39:57,2
5,43,240,8,1,2,2024-02-14,21:00:45,
6,6,446,18,3,3,2024-02-08,9:02:53,1
7,5,166,15,1,21,2024-02-25,4:55:53,1
8,15,52,31,3,20,2024-01-04,7:45:59,2
9,18,2,32,2,26,2024-01-27,7:14:16,2
10,31,403,3,1,20,2024-02-04,6:48:48,3
11,22,252,31,1,20,2024-02-23,5:26:26,4
12,33,111,12,1,3,2024-01-29,4:51:58,4
13,4,59,11,3,28,2024-02-03,14:01:38,5
14,15,448,27,3,0,2024-01-28,21:57:44,3
15,28,207,50,1,25,2024-01-04,0:49:18,4
16,9,121,6,2,16,2024-01-24,22:09:52,1
17,50,17,2,1,28,2024-02-28,18:44:57,5
18,22,167,36,1,12,2024-01-23,5:08:35,3
19,17,6,13,3,16,2024-01-09,16:42:58,2
20,22,56,43,2,26,2024-01-05,15:42:20,3
21,15,161,34,3,9,2024-02-03,12:13:42,2
22,35,247,43,2,5,2024-01-22,7:30:38,5
23,22,238,26,1,29,2024-01-06,18:41:02,5
24,6,265,12,2,4,2024-02-05,2:10:26,1
25,9,217,40,1,6,2024-01-16,3:57:38,4
26,15,109,3,1,18,2024-01-13,8:12:25,1
27,8,340,2,2,5,2024-01-08,17:03:08,1
28,8,241,35,2,9,2024-02-08,2:27:04,5
29,8,448,42,3,12,2024-01-31,8:45:32,5
30,22,460,14,1,7,2024-01-18,2:30:42,
31,9,482,5,3,1,2024-01-23,21:18:17,4
32,8,411,31,2,3,2024-02-02,8:03:48,2
33,13,368,3,3,20,2024-01-10,9:57:48,4
34,18,423,43,1,25,2024-01-02,5:41:30,
35,28,168,30,1,14,2024-01-31,16:42:42,2
36,25,440,47,3,8,2024-01-11,18:34:45,5
